Location,Site,Reef_name,Latitude,Longitude,Type
La Paz,,,24.1426,-110.3128,RockyReefs
Cerralvo,Reina,CERRALVO_REINA,24.388762,-109.939961,RockyReefs
Cerralvo,Carpintero,CERRALVO_CARPINTERO,24.325098,-109.939613,RockyReefs
Cerralvo,Cerralvo Punta Sur Este,CERRALVO_PUNTA_SUR_ESTE,24.136251,-109.801504,RockyReefs
Punta Arenas,Punta Perico,PUNTA_PERICO,24.014233,-109.806733,RockyReefs
Espiritu Santo,Espiritu Santo Punta lobos,ESPIRITU_SANTO_PUNTA_LOBOS,24.475421,-110.289305,RockyReefs
Espiritu Santo,Espiritu Santo Pailebote,ESPIRITU_SANTO_PAILEBOTE,24.504571,-110.308406,RockyReefs
Espiritu Santo,Islote Este,ESPIRITU_SANTO_ISLOTES_ESTE,24.598899,-110.399831,RockyReefs
San Josè,Pardito Faro Lobera,PARDITO_FARO_LOBERA,24.842937,-110.605687,RockyReefs
San Josè,Las Animas Pinnaculos,SAN_JOSE_ANIMAS_PINACULOS,25.089468,-110.566743,RockyReefs
San Josè,San Diego Abnegado,SAN_DIEGO_ABNEGADO,25.182633,-110.710011,RockyReefs
Mainland,Aguaverde,ISLOTE_AGUA_VERDE,25.532478,-111.063858,RockyReefs
Monserrat,Monserrat Punta Sureste,MONSERRAT_PUNTA_SURESTE,25.675881,-111.011271,RockyReefs
Monserrat,Monserrat Galeras,MONSERRAT_GALERAS,25.742757,-111.046611,RockyReefs
Carmen,Carmen Punta Perico,CARMEN_PUNTA_PERICO,25.965265,-111.067303,RockyReefs
Coronado,Coronado Lajas,CORONADO_LAJAS,26.126188,-111.258743,RockyReefs
Coronado,Coronado Punta Blanca,CORONADO_PUNTA_BLANCA,26.137812,-111.265291,RockyReefs
San Basilio,SB_23,SB_23,26.348617,-111.399072,RockyReefs
San Basilio,SB_10,SB_10,26.372988,-111.421002,RockyReefs
San Basilio,SB_19,SB_19,26.383629,-111.427208,RockyReefs
San Basilio,Pulpito,PULPITO,26.516189,-111.442401,RockyReefs
Isla Tortuga,Tortuga Punta Oeste,TORTUGA_PUNTA_OESTE,27.450869,-111.902138,RockyReefs
Isla Tortuga,Tortuga Punta Sur,TORTUGA_PUNTA_SUR,27.429888,-111.862531,RockyReefs
San Marcos,San Marcos Este,SAN_MARCOS_ESTE,27.223216,-112.045528,RockyReefs
Isla Carmen,Carmen Abismo,CARMEN_ABISMO,25.841984,-111.232972,RockyReefs
Isla Danzante,Danzante Biznaga,DANZANTE_BIZNAGA,25.815202,-111.260062,RockyReefs
Isla Carmen,Carmen Tintorera,CARMEN_TINTORERA,26.064886,-111.131847,RockyReefs
Isla Carmen,Carmen Punta Lobos,CARMEN_PUNTA_LOBOS,26.068839,-111.070127,RockyReefs
Isla Danzante,Punta Sureste,DANZANTE_PUNTA_SURESTE,25.763561,-111.243521,RockyReefs
Isla Danzante,Punta Este,DANZANTE_PUNTA_ESTE,25.788956,-111.242819,RockyReefs
Isla Danzante,Punta Noroeste,DANZANTE_PUNTA_NOROESTE,25.800718,-111.257608,RockyReefs
Isla Danzante,Islote Bianco,LORETO_ISLOTE_BLANCO,25.743735,-111.225664,RockyReefs
Isla Catalana,Catalana Punta Norte,CATALANA_PUNTA_NORTE,25.713889,-110.774444,RockyReefs
Isla Catalana,Catalana Punta Sur,CATALANA_PUNTA_SUR,25.593158,-110.759095,RockyReefs
Isla Catalana,Catalana Punta Arena,CATALANA_PUNTA_ARENAS,25.671111,-110.766667,RockyReefs
Isla Catalana,Catalana Punta Oeste,CATALANA_PUNTA_OESTE,25.685011,-110.799167,RockyReefs
Mainland,Punta Botella,PUNTA_BOTELLA,25.292517,-110.93405,RockyReefs
Mainland,Refugio Morena,REFUGIO_MORENA,25.245621,-110.922071,RockyReefs
Mainland,Habana,HABANA,25.129618,-110.861821,RockyReefs
Mainland,Burros,BURROS,25.032361,-110.803731,RockyReefs
